"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.0101010C0",3,31,31,31,31,62,-1.99603384745237e-07,-0.0152628652795723,0.528069591409521,1.31360066514711e-05,7.84419013354893e-06,5.29181651792217e-06,0.402848191107572
"2","ratio_quantity.0101010E0",2,24,24,24,24,24,-1.36792562532618e-08,-0.0643758250600581,0.533158680769184,2.26169833896345e-07,2.09728427117044e-08,2.05196991184641e-07,0.907269495889905
"3","ratio_quantity.0101010F0",2,24,24,24,24,24,-1.72624447454509e-08,-0.0140059175146739,0.50405746186457,1.24977325507724e-06,5.99080675405258e-07,6.50692579671979e-07,0.520648507262036
"4","ratio_quantity.0101010G0",2,16,16,16,16,76,-1.79566670749437e-06,-0.0103371935455044,0.504084606825096,0.000174563145367655,7.12583949105452e-05,0.000103304750457109,0.591790152724019
"5","ratio_quantity.0101010I0",2,15,15,15,15,15,4.75244283850093e-08,0.0091940722250872,0.544710433834241,5.12150483541965e-06,5.64498768538618e-06,-5.23482849966535e-07,-0.102212702474905
"6","ratio_quantity.0101010J0",3,16,16,16,16,62,-1.21805880416819e-06,-0.0297664196342943,0.507674362117402,4.1237141853665e-05,5.24776869265119e-06,3.59893731610139e-05,0.87274169700525
"7","ratio_quantity.0101010L0",7,10,10,10,10,10,-9.75447680628189e-06,-0.153195239505458,0.511651532141173,7.34279750022513e-05,1.62339111119639e-05,5.71940638902873e-05,0.778913811643774
"8","ratio_quantity.0101010N0",2,4,4,4,4,4,5.82038086786217e-08,0.063679344113785,0.51498305599126,8.55810138679578e-07,3.56830988412873e-06,-2.71249974544915e-06,-3.16951111333437
"9","ratio_quantity.0101010P0",4,31,31,31,31,31,-3.98431490592103e-06,-0.156837736118586,0.544277624955366,2.93883726571019e-05,1.0688304049113e-07,2.92814896166108e-05,0.996363084076202
"10","ratio_quantity.0101010Q0",6,16,16,16,16,79,4.69006304375933e-05,14.8525978523211,4.7918665995951,3.35801135534717e-06,1.31455606250942e-05,-9.78754926974702e-06,-2.91468617405408
"11","ratio_quantity.0101010R0",2,13,13,13,13,62,-1.33192870694718e-06,-0.0114949453400457,0.51449978900717,0.000116445448144542,3.10155835102445e-05,8.54298646342972e-05,0.733647093944407
"12","ratio_quantity.0101010S0",4,15,15,15,15,16,-1.52855695421462e-07,-0.471431905653516,0.803073235544006,2.14422292576139e-07,2.54822809893507e-08,1.88940011586788e-07,0.881158434213167
"13","ratio_quantity.0101010T0",3,23,23,23,23,24,-7.86168375745023e-08,-2.7496929618578,10.9005184173492,2.86616562042128e-08,2.3654518849219e-08,5.00713735499384e-09,0.174698116512118
"14","ratio_quantity.0101010U0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.0101012A0",2,2,2,2,2,2,-4.28223264784097e-06,-18.853172478036,0.973726868511744,4.50936856636237e-06,1.1159257155385e-07,4.39777599480852e-06,0.975253171278508
"16","ratio_quantity.0101012B0",2,14,14,14,14,14,9.79083260208583e-07,0.0832931928158818,1.78557702256044,1.07755779204815e-05,1.1323906694787e-05,-5.48328774305481e-07,-0.0508862520740769
"17","ratio_quantity.010102100",2,15,15,15,15,15,6.17581293375053e-08,0.0159257058058621,0.527929157045516,3.81613149705336e-06,5.68784109333711e-06,-1.87170959628375e-06,-0.490473034728755
"18","ratio_quantity.0101021B0",1,65,65,65,65,65,-2.86795264001938e-05,-0.00420456213735225,0.525,0.00684972901105692,0.00570254795504917,0.00114718105600775,0.167478312522431
"19","ratio_quantity.0101021C0",3,16,16,16,16,86,3.18818154409718e-07,0.074060739325041,0.505796661988754,4.28182889753412e-06,9.95478723301492e-06,-5.6729583354808e-06,-1.32489141234668
"20","ratio_quantity.0102000A0",1,44,44,44,44,44,-2.06064399092291e-06,-0.00441444106229738,0.508196721311475,0.000468856771030051,0.000343157487583753,0.000125699283446298,0.268097404608541
"21","ratio_quantity.0102000AC",4,38,38,38,38,62,-1.32494668585845e-07,-0.0437352546484084,0.545430042187153,3.14099512772035e-06,4.68899273593922e-07,2.67209585412643e-06,0.850716332077141
"22","ratio_quantity.0102000AF",40,2,2,2,2,2,9.85909145374057e-16,NA,0.999999999999961,4.88967675894746e-06,4.88967675894746e-06,0,0
"23","ratio_quantity.0102000AJ",11,86,86,86,86,97,1.74381261279701e-07,NA,2.69276018851616,NA,3.17697361194626e-07,NA,NA
"24","ratio_quantity.0102000AK",2,86,86,86,86,96,-8.20776423848404e-08,NA,1.88542975863991,NA,6.12962334440324e-08,NA,NA
"25","ratio_quantity.0102000D0",3,40,40,40,40,64,-2.21775267015264e-08,-0.0517322548750868,0.53937580235281,3.6365239196978e-07,9.30214325686679e-08,2.70630959401113e-07,0.744202335464363
"26","ratio_quantity.0102000H0",4,82,82,82,82,82,3.45066847362574e-06,NA,0.898619326660094,NA,4.28055392558209e-06,NA,NA
"27","ratio_quantity.0102000J0",11,10,10,10,10,10,-2.65148097227656e-06,-0.0109958580459032,0.506570132617883,0.000277022178745998,5.19522931238714e-05,0.000225069885622127,0.812461610983478
"28","ratio_quantity.0102000K0",1,13,13,13,13,13,-3.26510389824098e-07,-0.00472445408910529,0.510869565217391,6.94372232184321e-05,3.9398267354615e-05,3.0038955863817e-05,0.432605949251773
"29","ratio_quantity.0102000L0",1,6,6,6,6,6,5.54049010716137e-07,0.0253513724997433,0.505050505050505,2.13007444811056e-05,7.61515965420032e-05,-5.48508520608976e-05,-2.57506736957255
"30","ratio_quantity.0102000N0",2,6,6,6,6,6,1.4837827924368e-05,0.0115043671047185,0.503225925425467,0.00127491829592901,0.0021299954850521,-0.000855077189123087,-0.670691754799868
"31","ratio_quantity.0102000P0",2,6,6,6,6,6,2.87331337689164e-05,0.0109469331262631,0.579538659860335,0.00259603249122444,0.00294308774450278,-0.000347055253278335,-0.133686791075039
"32","ratio_quantity.0102000R0",6,11,11,11,11,12,-1.82466256088228e-08,NA,242.066647312077,NA,1.79102046763628e-08,NA,NA
"33","ratio_quantity.0102000T0",2,30,30,30,30,30,5.7418414021468e-06,0.00776466671576196,0.90583907368475,0.00073374146320526,0.00074641886158418,-1.26773983789202e-05,-0.0172777456565431
"34","ratio_quantity.0102000X0",1,21,21,21,21,21,-9.84424335855435e-07,-0.00527696737656069,0.511904761904762,0.000187535574950897,0.000104843930739041,8.26916442118565e-05,0.44093844185834
"35","ratio_quantity.0102000Y0",4,21,21,21,21,27,5.82694176786613e-06,0.0935606030041794,0.62499025124845,7.03165118011922e-05,8.89630163065875e-05,-1.86465045053953e-05,-0.265179600463047
"36","ratio_quantity.010300000",2,19,19,19,19,19,-2.97973696105758e-07,-0.0123427640336163,0.505301449754702,2.85486828852354e-05,1.08578353970433e-05,1.7690847488192e-05,0.619672983139313
"37","ratio_quantity.0103010D0",10,3,3,3,3,47,-4.89168464815091e-06,-0.0203610176960455,0.500218735858883,0.000242420770034653,4.68389456253046e-05,0.000195581824409349,0.806786581782538
"38","ratio_quantity.0103010H0",2,14,14,14,14,14,-3.55201634427967e-07,-0.0118928716099976,0.5213830902879,3.02219693988569e-05,1.38715365116608e-05,1.63504328871961e-05,0.541011496352536
"39","ratio_quantity.0103010N0",3,3,3,3,3,3,-1.08282590713586e-06,-0.0101106608541403,0.502905788351447,0.000108462661341953,9.41828189360856e-06,9.90443794483448e-05,0.913165675845669
"40","ratio_quantity.0103010S0",3,10,10,10,10,11,-4.61589795113436e-10,NA,47.3724137585721,NA,1.76072858262732e-08,NA,NA
"41","ratio_quantity.0103010T0",2,16,16,16,16,47,4.45922033626621e-05,0.00814277760242641,0.506144998938736,0.0054517240117828,0.0087995862475732,-0.00334786223579039,-0.614092391426026
"42","ratio_quantity.0103020P0",2,33,33,33,33,33,1.43029666094107e-07,0.2835853200576,0.546258041897282,3.6133235823443e-07,1.93234446376608e-06,-1.57101210553165e-06,-4.34783121336834
"43","ratio_quantity.0103030S0",5,16,16,16,16,45,-1.59266106417383e-05,-0.224136749385051,0.596037812936383,7.02672362132312e-05,1.68256246373623e-05,5.34416115758689e-05,0.760548079814842
"44","ratio_quantity.0103030W0",4,42,42,42,42,66,-4.08802060248663e-06,-0.542053428089927,0.653730489392225,5.96850088487518e-06,3.88087013033399e-08,5.92969218357184e-06,0.99349774724811
"45","ratio_quantity.0103040M0",7,3,3,3,3,3,-1.21375671551983e-06,-0.0510758165235426,0.511322535018486,2.8042297467953e-05,6.67846213594775e-06,2.13638353320053e-05,0.761843260396908
"46","ratio_quantity.0103050A0",3,27,27,27,27,28,-1.78170487353197e-10,NA,44.5009718458697,NA,1.76754827020399e-08,NA,NA
"47","ratio_quantity.0103050E0",2,3,3,3,3,3,-2.97620652941277e-05,-0.0139947770279184,0.639121956171771,0.00215641726206895,0.00191359428413784,0.000242822977931116,0.112604820134922
